"","Time","pp","pp_nr5","HR","BR","SkinTemp","Posture","PeakAccel","Accelerator","Brake","Steering","Speed","IN_Lat","IN_Long"
"1",0,0.003530406625,0.00414480126701188,97,20.5,-3276.8,-3,0.13,32.760446125,-4.1386215608,-61.29019197,14.81,1836.06738678,-5781.1885053
"2",1,0.00438116142857143,0.00417972494406211,98,20.6,-3276.8,-4,0.15,22.77978063,-4.8594104605,-82.007548225,18,1836.06893508,-5781.18590328
"3",2,0.00442945675,0.00422288023776244,97,20.6,-3276.8,-6,0.1,19.836712415,0.448717471446,-92.561477945,19,1836.0708294,-5781.18339324
"4",3,0.00540853071428571,0.00424528912078927,98,20.9,-3276.8,-8,0.06,19.8858968,7.332793496725,-23.2530908695,19,1836.07294914,-5781.18120906
"5",4,0.00449766525,0.00423239819411011,98,20.9,-3276.8,-10,0.06,19.746210075,30.9119328025,6.604786718345,18.28,1836.0750825,-5781.17922036
"6",5,0.00422371342857143,0.00419826810303253,97,21.5,-3276.8,-10,0.03,19.729382295,41.682432315,34.271846615,17.755,1836.07700646,-5781.17735856
"7",6,0.003637304125,0.00416719516223932,95,21.5,-3276.8,-10,0.03,19.592253605,28.63125522,50.515483565,15.425,1836.07845678,-5781.17578296
"8",7,0.00454683257142857,0.0041556675860376,94,22.4,-3276.8,-11,0.03,19.565049585,20.75478198,63.32718415,12.2,1836.0796149,-5781.17431428
"9",8,0.005088648625,0.00416202171871114,92,22.4,-3276.8,-11,0.03,19.54602112,20.09908671,95.00032679,11,1836.08062158,-5781.17281668
"10",9,0.00369859385714286,0.00417249574599395,93,23.4,-3276.8,-11,0.03,19.53150733,41.169952205,72.978511875,10.08,1836.08146626,-5781.17128746
"11",10,0.0044751192,0.00417904866204159,92,23.4,-3276.8,-11,0.04,19.535655225,37.072911465,26.9594690335,8.68,1836.08198292,-5781.17013372
"12",11,NA,NA,91,24.4,-3276.8,-11,0.03,19.45600764,38.79542075,1.31562181983505,6.12,1836.08219328,-5781.1695999
"13",12,NA,NA,90,24.4,-3276.8,-11,0.03,19.418876115,39.24404285,2.0010089611,3.355,1836.08220912,-5781.1695381
"14",13,NA,NA,92,24.6,-3276.8,-11,0.04,19.399902355,34.80423731,-0.5028075042075,3,1836.082206,-5781.1695477
"15",14,NA,NA,92,24.6,-3276.8,-11,0.06,19.394101605,36.650798465,-1.318948662,2.025,1836.082206,-5781.169548
"16",15,NA,NA,88,25.2,-3276.8,-11,0.04,19.390340965,36.69117472,-1.591419665,0,1836.0822102,-5781.169548
"17",16,NA,NA,88,25.2,-3276.8,-11,0.19,19.386271545,36.465147295,-1.7516921985,0,1836.082212,-5781.169548
"18",17,NA,NA,90,25.6,-3276.8,-17,0.19,19.378518435,35.676526995,-1.872938157,0,1836.082212,-5781.169548
"19",18,NA,NA,91,25.6,-3276.8,-17,0.08,19.372858005,35.53962079,-1.9874490975,0,1836.082212,-5781.169548
"20",19,NA,NA,94,25.8,-3276.8,-15,0.18,19.37032581,34.241592285,-2.043252529,0,1836.082212,-5781.169548
"21",20,NA,NA,94,25.8,-3276.8,-14,0.2,19.366955645,32.88171014,-2.102357008,0,1836.082212,-5781.169548
"22",21,NA,NA,95,25.9,-3276.8,-14,0.16,19.36069468,34.62678072,-2.1448946525,0,1836.082212,-5781.169548
"23",22,NA,NA,95,25.9,-3276.8,-14,0.2,19.361738825,33.62899909,-2.1682889935,0,1836.082212,-5781.169548
"24",23,NA,NA,94,26,-3276.8,-12,0.18,19.35889546,32.762548715,-2.17938879,0,1836.082212,-5781.169548
"25",24,NA,NA,95,26,-3276.8,-14,0.16,19.352590825,32.01084054,-2.197264071,0,1836.08221638,-5781.1695492
"26",25,NA,NA,95,25.8,-3276.8,-16,0.13,19.351443135,32.756800595,-2.2028390255,0,1836.082218,-5781.169554
"27",26,NA,NA,93,25.8,-3276.8,-17,0.1,19.3512085,21.0873694809715,-1.66466289095,0,1836.08222466,-5781.16955124
"28",27,NA,NA,93,25.9,-3276.8,-16,0.09,29.4518756,0.5262955031575,-1.989827072,0,1836.08227086,-5781.16945692
"29",28,NA,NA,95,25.9,-3276.8,-15,0.09,37.355113645,0.2190147058918,-2.56219482075,0,1836.0824862,-5781.168987
"30",29,NA,NA,94,25.7,-3276.8,-14,0.14,37.164798395,2.58376910316,-16.8561801655,3.885,1836.0830739,-5781.16765806
"31",30,NA,NA,95,25.7,-3276.8,-14,0.14,37.00311697,1.77772756388,-99.985603165,11.26,1836.08399502,-5781.16558548
"32",31,NA,NA,92,25.6,-3276.8,-13,0.14,35.11127131,0.451875942265,-252.02430065,16.185,1836.08531262,-5781.1632357
"33",32,NA,NA,93,25.6,-3276.8,-12,0.1,32.883007185,-3.259068500435,-330.435012,18.01,1836.08742444,-5781.1613502
"34",33,NA,NA,93,25.4,-3276.8,-12,0.07,33.961354375,-4.1090531875,-244.03968115,20,1836.09029574,-5781.16087386
"35",34,NA,NA,93,25.4,-3276.8,-13,0.08,38.22181364,-1.3661385775055,-80.03078666,20.09,1836.09339606,-5781.16204944
"36",35,NA,NA,92,25.3,-3276.8,-13,0.14,39.2857161,-2.3476678411845,-7.354850169965,23.14,1836.09663354,-5781.16401444
"37",36,NA,NA,91,25.3,-3276.8,-13,0.09,41.38318647,-1.56152777928,1.5594183501005,26,1836.10016802,-5781.16620624
"38",37,0.005015647,0.00418114524468519,92,25.4,-3276.8,-13,0.14,40.68099911,-2.923828507,2.2957643504725,27.94,1836.10414374,-5781.16857978
"39",38,0.004490043,0.00418076346513433,93,25.4,-3276.8,-11,0.08,36.843237345,-2.9272287118,1.5333088010087,31.45,1836.1085085,-5781.1711347
"40",39,0.0036784542,0.00417841905552254,91,25.9,-3276.8,-10,0.16,34.933108965,-3.9026898125,1.847606353255,34.34,1836.11318274,-5781.17379372
"41",40,0.00442181916666667,0.0041764267030316,92,25.9,-3276.8,-9,0.16,33.638512665,-4.67138919,3.48561971995,36,1836.11806542,-5781.17651148
"42",41,0.00465236566666667,0.00417060538747645,92,26,-3276.8,-9,0.1,33.296856305,-4.5089509565,7.2933785381,37.405,1836.12309384,-5781.17924352
"43",42,0.0041830685,0.0041537871912108,91,26,-3276.8,-9,0.09,32.624931415,-4.7456172675,13.719549581,37,1836.12826326,-5781.1818195
"44",43,0.0040578082,0.00413221294519765,91,26.4,-3276.8,-8,0.13,30.94030653,-5.7763382125,18.722842795,38.21,1836.13361544,-5781.18399978
"45",44,0.004154586,0.00411017173070595,90,26.4,-3276.8,-6,0.13,30.717612905,-6.083241384,15.851020019,38.355,1836.13915488,-5781.18562716
"46",45,0.00435434357142857,0.0040859368287904,92,26.8,-3276.8,-5,0.14,30.880479365,-6.0832982305,14.7796857915,38,1836.14477718,-5781.18678684
"47",46,0.00375140225,0.00406283047496447,92,26.8,-3276.8,-3,0.2,30.948587075,-6.1555133115,19.29412171,38,1836.15046536,-5781.18756858
"48",47,0.003864896,0.00404552359990705,93,26.8,-3276.8,-6,0.13,30.784292495,-6.249414237,21.514914695,37.15,1836.15626184,-5781.1878858
"49",48,0.004029669,0.00403695349845674,95,26.8,-3276.8,-9,0.1,29.013063835,-5.34085832905,20.04024354,39.535,1836.16209606,-5781.18764142
"50",49,0.003883786,0.00403350269691527,95,26.8,-3276.8,-12,0.14,19.93014387,10.0247687401635,15.8242378535,39.155,1836.16789494,-5781.18683868
"51",50,0.004417289875,0.004029567592864,92,26.8,-3276.8,-13,0.15,19.83411718,31.109217265,-1.335952951775,38.955,1836.17353392,-5781.18572982
"52",51,0.00398355857142857,0.00401903980367424,89,26.5,-3276.8,-14,0.16,20.005893045,32.547361855,2.15135911512,37.43,1836.17885862,-5781.18464778
"53",52,0.003777270375,0.00400519752573614,92,26.5,-3276.8,-14,0.13,20.170321675,28.87767271,23.56172419,35.23,1836.18374238,-5781.18363036
"54",53,0.00388782385714286,0.00400237793065864,93,26.3,-3276.8,-14,0.26,20.08680607,38.36542332,27.295019995,32.3,1836.18811068,-5781.18243324
"55",54,0.003566685625,0.00402262611767167,96,26.3,-3276.8,-15,0.19,20.32710067,40.141913355,28.53399195,29.04,1836.19186962,-5781.18092406
