"","Time","pp","pp_nr5","HR","BR","SkinTemp","Posture","PeakAccel","Accelerator","Brake","Steering","Speed","IN_Lat","IN_Long"
"1",0,0.00599934125,0.00688212675219957,88,15.9,-3276.8,8,0.12,23.077728205,-6.945338626,-76.18379189,16.335,1836.07184871,-5781.18547992
"2",1,0.00819310023809524,0.00696147024708342,88,15.9,-3276.8,11,0.09,26.37352112,-6.9949071075,-31.940241511,17.305,1836.07368138,-5781.18352038
"3",2,0.0077632493125,0.00690771662381552,89,16.4,-3276.8,10,0.14,26.949740625,-7.256643049,7.68941565564,16.655,1836.07558392,-5781.1816923
"4",3,0.00657277633333333,0.00688935053155275,90,16.4,-3276.8,8,0.12,23.23423171,-3.89821946743,55.12443154,16.665,1836.07748862,-5781.17977281
"5",4,0.00571403675,0.00682050015350584,91,17.2,-3276.8,6,0.12,21.663500465,25.80397778355,69.46526953,17,1836.07925262,-5781.17760915
"6",5,0.00505370185714286,0.00680489357915754,91,17.2,-3276.8,3,0.12,22.61707964,38.357493975,80.20123928,16.39,1836.08065302,-5781.17534985
"7",6,0.008810179875,0.00682157516569237,91,17.3,-3276.8,3,0.06,24.303247215,44.177112415,52.20241116,14.39,1836.0815718,-5781.17340351
"8",7,0.00808875171428571,0.00681730319504021,90,17.3,-3276.8,3,0.04,24.5013752985075,41.697499840796,21.0618993675821,10.3034825870647,1836.08201597015,-5781.17213946269
"9",8,0.005687823375,0.00679229884328595,89,17.3,-3276.8,3,0.08,23.78200204,38.388044135,-15.72865715196,5.96,1836.08218062,-5781.17160018
"10",9,0.00575287,0.00678934132975822,90,17.3,-3276.8,3,0.03,23.652770355,36.660335,-46.103206995,3.25,1836.08230686,-5781.17134194
"11",10,NA,NA,92,17.4,-3276.8,3,0.08,23.559345445,35.773807695,-52.896299375,3,1836.08234226,-5781.1712202
"12",11,NA,NA,92,17.4,-3276.8,3,0.08,23.52084478,33.042777405,-37.015269105,3,1836.082344,-5781.171216
"13",12,NA,NA,93,17.2,-3276.8,3,0.03,23.524555605,31.937630785,-36.813742415,1.59,1836.082344,-5781.171216
"14",13,NA,NA,93,17.2,-3276.8,3,0.06,23.494481725,33.74044721,-37.574193785,0,1836.082344,-5781.17121294
"15",14,NA,NA,91,17.2,-3276.8,3,0.06,23.469715165,33.59483201,-37.814427275,0,1836.08234652,-5781.17121
"16",15,NA,NA,88,17.2,-3276.8,3,0.03,23.455001645,33.850561485,-37.90206541,0,1836.08235066,-5781.17120352
"17",16,NA,NA,86,17.3,-3276.8,3,0.06,23.436521465,32.88392898,-39.04123555,0,1836.08237268,-5781.17114142
"18",17,NA,NA,83,17.3,-3276.8,5,0.04,23.420231495,32.71848709,-35.667954665,0,1836.08240286,-5781.1710579
"19",18,NA,NA,84,17.4,-3276.8,-9,0.16,23.412256945,26.53416278,-33.889654245,0,1836.08242431,-5781.17100237
"20",19,NA,NA,84,17.4,-3276.8,-10,0.2,23.418527375,28.644692125,-33.42292144,0,1836.08245242,-5781.17093016
"21",20,NA,NA,85,17.4,-3276.8,10,0.1,23.41220957,29.673273155,-31.550028015,0,1836.08249526,-5781.17082117
"22",21,NA,NA,86,17.4,-3276.8,11,0.19,23.389342395,30.404672824,-32.65695279,0,1836.08256318,-5781.17064702
"23",22,NA,NA,87,17.5,-3276.8,12,0.13,24.92076691,-4.5799933749,-35.39674193,0,1836.08266038,-5781.17040066
"24",23,NA,NA,89,17.5,-3276.8,12,0.09,33.08353124,-6.540806669,-32.95136719,0,1836.08285685,-5781.16991163
"25",24,NA,NA,89,17.2,-3276.8,12,0.1,37.70725501,-6.872178536,-37.09537069,3.725,1836.08328558,-5781.16888293
"26",25,NA,NA,89,17.2,-3276.8,13,0.08,36.50026779,-5.4183566175,-100.03220104,9.805,1836.08408748,-5781.1670988
"27",26,NA,NA,90,17.6,-3276.8,-14,0.14,32.872804215,-4.4141044365,-230.6534547,13.51,1836.08530752,-5781.16495467
"28",27,NA,NA,88,17.6,-3276.8,-14,0.18,30.75752229,-4.952799703,-323.2567724,16.77,1836.0871611,-5781.16314366
"29",28,NA,NA,85,17.9,-3276.8,-14,0.12,30.86374604,-4.6979397205,-295.92493565,18,1836.08971383,-5781.16237902
"30",29,NA,NA,85,17.9,-3276.8,14,0.1,36.486584185,-3.9681371665,-129.11778993,18,1836.09251211,-5781.16307118
"31",30,NA,NA,84,18.2,-3276.8,12,0.13,39.75938315,-2.9201430917,-16.46478726935,20.21,1836.0954249,-5781.16473
"32",31,NA,NA,85,18.2,-3276.8,-11,0.21,41.05262882,-7.6915035625,-5.944477029,23.58,1836.09868938,-5781.16673001
"33",32,NA,NA,87,18.5,-3276.8,-9,0.21,40.6179714623116,-7.04697730854271,-5.43540402538859,26.3015075376884,1836.10241689447,-5781.16889083417
"34",33,0.007619301,0.00728460257793625,85,18.5,-3276.8,-8,0.15,39.14048635,-5.511374549,-3.80471832692,30.36,1836.10655976,-5781.17124048
"35",34,0.0086378605,0.00741040342390854,83,18.8,-3276.8,-8,0.12,35.53438003,-6.3740505635,-2.908695268505,32,1836.11104674,-5781.1737804
"36",35,0.0080296568,0.00753264516052239,82,18.8,-3276.8,-8,0.12,35.03205685,-5.648156411,-2.58114732883325,34.42,1836.11579754,-5781.17643576
"37",36,0.010209663,0.00758026287212258,80,19.6,-3276.8,-8,0.13,35.53020545,-6.4446760295,0.92954366050055,36.665,1836.12076236,-5781.17918586
"38",37,0.00873480285714286,0.00761406338135808,78,19.6,-3276.8,-7,0.18,34.91841745,-5.4472464375,7.70794230771,37.06,1836.1259403,-5781.18191454
"39",38,0.008326849,0.00760769070479349,80,20,-3276.8,6,0.18,34.39413682,-6.2809368855,16.5106386145,39,1836.131391,-5781.1843623
"40",39,0.00723357685714286,0.00753666208057659,82,20,-3276.8,5,0.15,35.13847411,-6.9762128335,12.6526378185,40.19,1836.13708746,-5781.18629496
"41",40,0.008136202875,0.00744276189327632,83,20.1,-3276.8,6,0.15,34.993948315,-6.8512233315,14.538538869,40,1836.14297622,-5781.18777624
"42",41,0.006629227,0.00735132393536957,84,20.1,-3276.8,6,0.13,34.68926987,-7.317292336,14.770875274,40.53,1836.14906088,-5781.18880416
"43",42,0.0065765835,0.00728651625311246,82,20.2,-3276.8,6,0.1,27.71019969,-4.0470643667,21.101164075,42,1836.15532134,-5781.18933486
"44",43,0.00820181057142857,0.00727571366616384,79,20.2,-3276.8,7,0.12,19.80671774,9.652971545715,20.38958839,42.86,1836.16165812,-5781.18925236
"45",44,0.0078632565,0.00730683774595035,77,20.3,-3276.8,8,0.13,20.219799775,31.97164541,16.2303322645,42.625,1836.16782864,-5781.1884249
"46",45,0.00745425242857143,0.0073395214529874,79,20.3,-3276.8,7,0.14,20.37821919,23.343720925,-3.321447640265,40.47,1836.17357076,-5781.1871214
"47",46,0.008052474,0.0073633884449433,82,19.8,-3276.8,7,0.13,20.5694747,31.306086525,-5.62001807923,38.22,1836.17900208,-5781.18585192
"48",47,0.00745295057142857,0.00738544569862629,85,19.8,-3276.8,7,0.14,20.521179045,35.160785775,19.677253455,36.22,1836.18415542,-5781.18477024
"49",48,0.008262667375,0.00739220481446082,85,19.6,-3276.8,11,0.16,21.09621404,45.55711133,27.898779255,34.03,1836.18882864,-5781.18345486
"50",49,0.00744555385714286,0.00737044793138622,86,19.6,-3276.8,12,0.1,22.172151365,45.33449792,31.04181855,30.88,1836.19269,-5781.1818
"51",50,0.006805265,0.00734681413836895,84,19.1,-3276.8,14,0.13,23.0545816,45.626702005,23.22223804,25.29,1836.19557144,-5781.18015474
"52",51,0.005644876,0.00736962370932048,83,19.1,-3276.8,15,0.16,22.69114714,34.84504811,10.710679007315,19.81,1836.19769136,-5781.17877996
"53",52,0.009127104875,0.00744576550328627,83,19,-3276.8,-15,0.09,27.2193564,-4.5990086839,-55.13345287585,15.24,1836.19945884,-5781.177594
"54",53,0.00721936016666667,0.00752664160379473,81,19,-3276.8,16,0.06,36.34741544,-5.6278263475,-227.44699825,13.45,1836.20123646,-5781.17652876
"55",54,NA,NA,83,18.6,-3276.8,-16,0.15,38.13043761,-6.7458506765,-275.9859141,14.79,1836.20352492,-5781.1759674
"56",55,NA,NA,84,18.6,-3276.8,15,0.15,41.09099569,-7.0603097845,-150.42955562,19.1,1836.2063763,-5781.17659626
"57",56,NA,NA,83,17.7,-3276.8,15,0.22,43.616481545,-5.375300308495,-83.424197925,21.56,1836.20955522,-5781.17844576
"58",57,NA,NA,84,17.7,-3276.8,-15,0.09,43.614416055,-6.70526478,-44.592457745,25.96,1836.2129094,-5781.18120306
"59",58,0.005836768,0.00757331674532647,84,17.1,-3276.8,15,0.15,43.70644381,-7.2479165515,-24.4916563155,30.04,1836.21645204,-5781.18472728
"60",59,0.007729296,0.00759687388702903,83,17.1,-3276.8,15,0.22,43.220427635,-7.3911147075,-12.4640500915,34.68,1836.22023048,-5781.1888833
"61",60,NA,NA,81,16.6,-3276.8,14,0.15,43.32401414,-7.61584265,-9.2966471125,37.29,1836.22430556,-5781.19352628
"62",61,0.0085887095,0.00762226845078053,80,16.6,-3276.8,14,0.13,42.361712595,-7.256659724,-7.26646809625,39.94,1836.22869816,-5781.19847424
"63",62,0.008570533875,0.00766167797260997,79,16.1,-3276.8,12,0.13,41.857666995,-7.34731324,-7.69925594677,42.24,1836.2332977,-5781.20370708
"64",63,0.00687180757142857,0.00769500546565353,80,16.1,-3276.8,12,0.12,40.0543271,-7.494612721,-1.374734763225,45.3,1836.23806056,-5781.2092368
"65",64,0.00983091425,0.00772064075597838,83,16,-3276.8,14,0.09,39.51108708,-7.473433602,-1.441913559705,46.37,1836.2429931,-5781.21499038
"66",65,0.00698961371428571,0.00773051911367122,85,16,-3276.8,13,0.22,39.445285905,-7.3580613565,-3.8186412367,48.025,1836.2480919,-5781.2209158
"67",66,0.00880094528571428,0.00771452461688711,83,16.5,-3276.8,13,0.19,26.239925155,-4.7800467203,-3.9709820478305,49,1836.25333656,-5781.2269617
"68",67,0.007478722375,0.0076761441855985,82,16.5,-3276.8,14,0.13,20.14523277,-5.6097007735,-7.0629314275,49,1836.25859448,-5781.2329911
"69",68,0.00747080214285714,0.0076299759941297,81,17,-3276.8,14,0.13,25.627350905,-6.261623561955,-6.8187706575,49,1836.26374224,-5781.23894718
"70",69,0.008526513125,0.00758711987264995,77,17,-3276.8,14,0.1,31.71294944,-7.026939544,-7.272840819765,48.13,1836.26882364,-5781.24480474
"71",70,0.00704704842857143,0.0075651456287075,77,17.4,-3276.8,14,0.19,35.71534367,-6.8752291585,-0.626913211578,48,1836.2738691,-5781.25061466
"72",71,0.008430170375,0.0075836421659786,79,17.4,-3276.8,14,0.21,37.128363905,-7.0235314415,-4.1088931138,48,1836.27890292,-5781.25647966
"73",72,0.00969355128571429,0.00760731297168094,80,17.7,-3276.8,14,0.15,37.95102056,-7.2231122715,0.50826605699,48,1836.28393842,-5781.26241144
"74",73,0.00711004425,0.00761098552360061,82,17.7,-3276.8,14,0.16,36.314131465,-7.4745681065,1.064201872661,49.275,1836.28906722,-5781.26837004
"75",74,0.007152376,0.00762749326751813,83,18.3,-3276.8,14,0.13,35.17713085,-7.719411355,-5.47057559215,49,1836.29426286,-5781.27436932
