"","Time","pp","pp_nr5","HR","BR","SkinTemp","Posture","PeakAccel","Accelerator","Brake","Steering","Speed","IN_Lat","IN_Long"
"1",0,0.00813785854166667,0.00735649059704174,84,27.7,-3276.8,179,0.13,22.00400679,2.73207235597,-15.5917866457,16.645,1836.07455822,-5781.18131007
"2",1,0.00844953381818182,0.00757441833409214,84,27.7,-3276.8,-178,0.15,24.59452635,1.435175489041,9.19372665529,17,1836.0763536,-5781.17930046
"3",2,0.015356109375,0.00874822129489611,84,27.3,-3276.8,-176,0.13,22.31373087,23.301193981555,31.31935768,16.965,1836.07810071,-5781.17727642
"4",3,0.007522538,0.00885094489626611,84,27.3,-3276.8,-179,0.18,24.36235573,41.60885568,41.628794975,15.445,1836.07961439,-5781.17526282
"5",4,0.009553751875,0.00869721468981018,84,27,-3276.8,179,0.2,24.024768695,42.16366198,46.94300197,13.815,1836.08069442,-5781.173535
"6",5,0.00575950885714286,0.00867425035229651,84,27,-3276.8,179,0.08,24.358051335,44.6203983,40.12860008,10.255,1836.08137023,-5781.17227533
"7",6,0.008571019,0.00861761448618832,84,26.4,-3276.8,178,0.08,23.956549665,41.76182567,35.036776625,7.02,1836.08160291,-5781.17173185
"8",7,0.0157816085,0.00896932213630581,84,26.4,-3276.8,178,0.08,24.669358545,4.3704018215115,33.839031855,3.49,1836.08163219,-5781.17166246
"9",8,NA,NA,84,26.2,-3276.8,178,0.13,31.985660675,-0.743661643017,4.28595909123,3,1836.08183721,-5781.17141196
"10",9,NA,NA,84,26.2,-3276.8,178,0.1,31.857835805,2.25095014406525,-18.2703208231,3.87,1836.08234472,-5781.17063484
"11",10,NA,NA,84,25.9,-3276.8,177,0.09,32.483661115,0.4864428960815,-50.93140677,8.09,1836.0831261,-5781.16930263
"12",11,NA,NA,84,25.9,-3276.8,177,0.12,33.500431535,1.325077216863,-83.413292595,11,1836.0841383,-5781.16760718
"13",12,NA,NA,84,25.8,-3276.8,177,0.14,33.169382595,4.260585113065,-136.394042245,12.58,1836.08537112,-5781.16579587
"14",13,NA,NA,84,25.8,-3276.8,176,0.13,31.448587265,6.2742383025,-214.41647575,15,1836.08692365,-5781.16406511
"15",14,NA,NA,84,25.6,-3276.8,174,0.13,27.29591621,7.8627799975,-295.26816345,15.63,1836.08895111,-5781.16275567
"16",15,NA,NA,84,25.6,-3276.8,174,0.09,32.40106751,6.668982467,-289.0076212,16.165,1836.09135318,-5781.16239798
"17",16,NA,NA,84,25.1,-3276.8,174,0.15,36.146792185,6.359376821,-93.619436648,17.67,1836.09392121,-5781.1632831
"18",17,NA,NA,83,25.1,-3276.8,174,0.14,36.17001964,4.046780067,-4.0704350359135,19.75,1836.09668133,-5781.16492431
"19",18,0.00745200833333333,0.00896836030463328,83,24.4,-3276.8,175,0.16,36.09551444,2.45257725145,-7.51684743505,21.18,1836.09975762,-5781.16672944
"20",19,0.0202856315714286,0.00883575521222526,83,24.4,-3276.8,175,0.15,36.32010411,2.80275554288,-5.65805995388,24.07,1836.10310673,-5781.16863837
"21",20,0.0086618836875,0.0071665311457426,83,23.8,-3276.8,176,0.16,35.83170946,3.6457568509,-0.297478685428,26,1836.10669872,-5781.17068599
"22",21,0.00708989014285714,0.0071080999944179,83,23.8,-3276.8,-176,0.16,36.08446382,3.125093434,-0.826667075861,26.47,1836.11055858,-5781.17285541
"23",22,0.00536478713043478,0.00684388155898513,83,23.2,-3276.8,-176,0.13,32.934292365,7.4246278511,1.7656798660875,30,1836.11467569,-5781.17515146
"24",23,0.0060896038,0.0067110072693639,83,23.2,-3276.8,-175,0.13,35.151959695,6.4445430415,-2.342885264565,31.24,1836.11897982,-5781.17752959
"25",24,0.0075405273,0.00667526816190847,84,22.7,-3276.8,-174,0.12,31.78713124,6.8090314895,2.53284896151,32.83,1836.12347094,-5781.17991003
"26",25,0.00670478405,0.00661046028266652,84,22.7,-3276.8,-172,0.12,35.99790164,6.2754121255,8.14273815045,33,1836.12805515,-5781.18217572
