"Subject","PP_Prior","PP_After","PP_Dev","Activity","PP_Dev_Normalized"
"01",0.26354,0.33807,0.07454,"NO",0.33807
"02",0.06724,0.05194,-0.0153,"C",0.05194
"03",-0.02389,0.14481,0.1687,"C",0.1687
"04",0.01598,-0.05079,-0.06677,"NO",-0.05079
"05",0.00057,0.14351,0.14294,"M",0.14351
"06",0.26185,0.40863,0.14678,"M",0.40863
"07",0.06988,0.21267,0.14279,"NO",0.21267
"09",0.00813,0.12238,0.11425,"M",0.12238
"12",-0.18136,0.00114,0.1825,"C",0.1825
"13",-0.10652,-0.05038,0.05614,"C",0.05614
"15",-0.13193,0.01422,0.14615,"NO",0.14615
"16",-0.07359,-0.17213,-0.09853,"NO",-0.09854
"17",0.10825,0.05311,-0.05514,"C",0.05311
"18",0.01205,0.05284,0.04079,"C",0.05284
"22",0.09682,0.11891,0.02208,"C",0.11891
"24",-0.05573,0.25354,0.30927,"M",0.30927
"29",0.04389,0.21933,0.17544,"M",0.21933
"30",-0.03256,0.08254,0.1151,"M",0.1151
"31",-0.18148,-0.07777,0.10371,"M",0.10371
"32",0.0362,0.02337,-0.01282,"NO",0.02337
"41",-0.12455,-0.1274,-0.00285,"NO",-0.00285000000000002
