"","Subject","Std_PP_3","PP_Dev_2_Turning","Activity","PP_Dev","PP_Dev_Group","PP_Dev_3_Group"
"1","#01",0.0930749400751178,0.317343329158518,"NO",0.10156,1,1
"2","#02",0.0814267330355834,0.0202440253515079,"C",0.04111,0,0
"3","#03",0.075761549937448,0.129271836176342,"C",0.1374,1,0
"4","#04",0.0846660749674011,0.317679850942987,"NO",-0.00355,0,0
"5","#05",0.233405099748957,0.276431178496197,"M",0.08341,1,1
"6","#06",0.129493400648149,0.353693867620132,"M",0.12115,1,1
"7","#07",0.112755712776309,0.545977790727558,"NO",0.15203,1,1
"8","#09",0.091596272436684,0.199836464041876,"M",0.1861,1,1
"9","#12",0.135726507117615,0.1634220159153,"C",0.11643,1,1
"10","#13",0.0915704247442983,0.19387774763137,"C",0.17329,1,1
"11","#15",0.0949628162676694,-0.15558663886883,"NO",0.15044,1,1
"12","#16",0.0513698929776035,0.0747359448611804,"NO",-0.08361,0,0
"13","#17",0.0603092641954763,0.00736135773114199,"C",-0.01537,0,0
"14","#18",0.0791949882017985,0.092153081995309,"C",-0.02667,0,0
"15","#22",0.0972378393592567,0.1675693040505,"C",0.01078,0,1
"16","#24",0.110041101656236,0.0640239062794936,"M",0.18998,1,1
"17","#29",0.094599361090558,0.305037689681978,"M",0.23443,1,1
"18","#30",0.104355164734609,0.134822485083443,"M",0.18447,1,1
"19","#31",0.10240565242885,0.0106241129448908,"M",0.08472,1,1
"20","#32",0.0802599039766058,0.114935489939569,"NO",0.01306,0,0
"21","#41",0.0577971158301009,0.0581022797767433,"NO",0.00098,0,0
